name,item,url,category,type,fes
獏の棲む森,お好み焼き、ジャンボ焼き鳥,https://www.instagram.com/h8996a/,フード,グルメ,さばえ門前まつり
ミート＆デリカささき,サバエドッグ,https://www.meat-sasaki.com/,フード,グルメ,さばえ門前まつり
ほやっ停,山うにたこ焼き、ゆずスカッシュ,https://echizentai.com/pages/shopinfo,フード,グルメ,さばえ門前まつり
鯖江商工会議所 新製品・サービス開発委員会,水ようかん,,フード,グルメ,さばえ門前まつり
鯖江おかみさん会,ぜんざい,,フード,グルメ,さばえ門前まつり
惣so,四川風麻婆豆腐,https://www.instagram.com/SO_sabaeekimae/,フード,グルメ,さばえ門前まつり
中野商店,,https://www.instagram.com/nakano_shouten/,フード,グルメ,さばえ門前まつり
金澤スパイス咖喱エスニカ,,https://www.instagram.com/esnica_kanazawa/,フード,グルメ,さばえ門前まつり
鯖江商工会議所 女性会,コーヒーフロート,,フード,グルメ,さばえ門前まつり
鯖江おかみさん会,カッティングボード作り,,ワークショップ・物販,ブース,さばえ門前まつり
鯖江おせっ会有志,竹あかり作り,,ワークショップ・物販,ブース,さばえ門前まつり
オリジナルマグネット作り,オリジナルマグネット作り,,ワークショップ・物販,ブース,さばえ門前まつり
さばえ門前祭 本部,青鬼お面塗り絵,https://www.instagram.com/sabaemonzenmatsuri/,ワークショップ・物販,ブース,さばえ門前まつり
日本木材青壮年団体連合会,木のパズル遊び,https://www.mokuseiren.jp/aboutus/,ワークショップ・物販,ブース,さばえ門前まつり
井波木材,木製ガチャガチャ遊び,https://inamimokuzai.com/,ワークショップ・物販,ブース,さばえ門前まつり
内田農産,内農麺,https://www.un2000.net/,ワークショップ・物販,ブース,さばえ門前まつり
光道園ライトワークセンター みぞみ焼工房,越前焼,https://www.kodoen.or.jp/care_home/light_work,ワークショップ・物販,ブース,さばえ門前まつり
たて焼きくん,鮎,,フード,グルメ,さばえ門前まつり
うちのぶどう,おやつ,https://www.instagram.com/uchino_budo/,フード,グルメ,さばえ門前まつり
Add R -nail&more-,ネイル,https://addrnailmore.com/,ワークショップ・物販,ブース,さばえ門前まつり
Lantern Bear,,https://www.instagram.com/lantern_bear/,フード,グルメ,さばえ門前まつり
鯖江商工会議所 飲料興業部会,かき氷（めだか）、ドーナッツ（マールイノ）,,フード,グルメ,さばえ門前まつり
鯖江健康みまもり隊＆居場所プロジェクト,,,ワークショップ・物販,ブース,さばえ門前まつり
お絵かきキーホルダー工房,,https://www.instagram.com/sabaemonzenmatsuri/p/C-_lc1gBZXY/?img_index=1,ワークショップ・物販,ブース,さばえ門前まつり
茶癒SaYu中松,行楽お弁当,https://www.nakamatu.com/cafe/,フード,グルメ,さばえ門前まつり
日本の酒文化「梵」,,https://www.born.co.jp/,ワークショップ・物販,ブース,さばえ門前まつり
鯖江JAZZフェスティバル,H ZETTORINO、在日ファンク,https://www.instagram.com/sabae_jazz/,ワークショップ・物販,ブース,さばえ門前まつり
