name,item,sdgs,category,type,opendays,url,fes
鯖江高校 チーム･エンターキー,おいでよ！enjoy募金ゲーム！〜SDGsオリンピック2024〜,4,鯖江高校生の特別企画,ブース,"21,22",https://www.sabae-h.ed.jp/,めがねのまちさばえSDGsフェス
鯖江高校,サバコーカフェ,"8,11",鯖江高校生の特別企画,ブース,"21,22",https://www.sabae-h.ed.jp/,めがねのまちさばえSDGsフェス
鯖江高校 SABA CHIL,高校球児による新しい地域スポーツ,"3,11",鯖江高校生の特別企画,ブース,"21,22",https://www.sabae-h.ed.jp/,めがねのまちさばえSDGsフェス
鯖江高校 GENERATIONS Z,鯖江高校 GENERATIONS Z,8,鯖江高校生の特別企画,ブース,"21,22",https://www.sabae-h.ed.jp/,めがねのまちさばえSDGsフェス
CARINA,産業廃棄物の再利用で環境保全,12,ブースエリア,ブース,"21,22",https://gift-carina.com/,めがねのまちさばえSDGsフェス
夢みらいWe,みんなでチャレンジ！！　洗濯物たたみ競争,"5,11",ブースエリア,ブース,"21,22",https://www.instagram.com/yumemiraikansabae/,めがねのまちさばえSDGsフェス
株式会社マイセンファインフード,これが！これに！プラントベースフードの世界！！,"3,13",ブースエリア,ブース,"21,22",https://www.maisen.co.jp/corporate/,めがねのまちさばえSDGsフェス
ふる里体験の家「椀de縁」,ちびっこゲーム&ハギレ利用品販売,"11,12",ブースエリア,ブース,"21,22",https://wan-de-en.com/,めがねのまちさばえSDGsフェス
ライジズ合同会社,建築端材で雑貨づくり,"11,12",ブースエリア,ブース,"21,22",https://www.rises-llc.jp/,めがねのまちさばえSDGsフェス
株式会社ネクアス,卵の殻から生まれたフィルムプランターtamakara,"13,14",ブースエリア,ブース,"21,22",https://neqas.co.jp/,めがねのまちさばえSDGsフェス
東洋染工株式会社,ぬのマルシェ,"11,12",ブースエリア,ブース,"21,22",https://www.toyo-senko.co.jp/,めがねのまちさばえSDGsフェス
株式会社ダイナム,電気を使わない懐かしの遊びをやってみよう！,"1,17",ブースエリア,ブース,"21,22",https://www.dynam.jp/top/index.html,めがねのまちさばえSDGsフェス
